airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url,rejection_reason,traffic_source_url
Ronneby Airport,Ronneby Airport,RNB,ESDF,ESDF,SE,Sweden,SE-K,Ronneby,Ronneby,56.266701,15.265,medium_airport,yes,101101,2022,medium_airport,medium,40,medium,https://www.swedavia.com/ronneby/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.transportstyrelsen.se/globalassets/global/luftfart/statistik_och_analys/flygplatsstatistik-excelfiler/230116-passagerarfrekvens-per-flygplats.xlsx,below_5m_passengers,https://www.transportstyrelsen.se/globalassets/global/luftfart/statistik_och_analys/flygplatsstatistik-excelfiler/230116-passagerarfrekvens-per-flygplats.xlsx
Yoron Airport,Yoron Airport,RNJ,RORY,RORY,JP,Japan,JP-46,Yoron,Yoron,27.043847,128.401648,medium_airport,yes,91610,2024,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.mlit.go.jp/koku/15_bf_000185.html,below_5m_passengers,https://www.mlit.go.jp/koku/15_bf_000185.html
Bornholm Airport,Bornholm Airport,RNN,EKRN,EKRN,DK,Denmark,DK-84,Rønne,Rønne,55.063301,14.7596,medium_airport,yes,199456,2022,medium_airport,medium,40,medium,http://www.bornholms-lufthavn.dk/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://stat.trafikstyrelsen.dk/,below_5m_passengers,http://stat.trafikstyrelsen.dk/
Reno Tahoe International Airport,Reno Tahoe International Airport,RNO,KRNO,KRNO,US,United States,US-NV,Reno,Reno,39.4991,-119.767998,large_airport,yes,4912900,2025,medium_airport,medium,45,medium,https://www.renoairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.renoairport.com/wp-content/uploads/2026/01/RNO-Passenger-and-Cargo-Statistics-December-2025.pdf,below_5m_passengers,https://www.renoairport.com/wp-content/uploads/2026/01/RNO-Passenger-and-Cargo-Statistics-December-2025.pdf
Rennes-Saint-Jacques Airport,Rennes-Saint-Jacques Airport,RNS,LFRN,LFRN,FR,France,FR-BRE,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine","Saint-Jacques-de-la-Lande, Ille-et-Vilaine",48.0695,-1.73479,medium_airport,yes,643231,2022,medium_airport,medium,40,medium,http://www.rennes.aeroport.fr/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aeroport.fr/uploads/documents/CONGRES%202022/DOSSIER%20DE%20PRESSE_STATS_2022_v2.pdf,below_5m_passengers,https://www.aeroport.fr/uploads/documents/CONGRES%202022/DOSSIER%20DE%20PRESSE_STATS_2022_v2.pdf
Roanoke–Blacksburg Regional Airport,Roanoke–Blacksburg Regional Airport,ROA,KROA,KROA,US,United States,US-VA,Roanoke,Roanoke,37.3255,-79.975403,medium_airport,yes,722262,2019,medium_airport,medium,40,medium,http://www.flyroa.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Roberts International Airport,Roberts International Airport,ROB,GLRB,GLRB,LR,Liberia,LR-MG,Monrovia,Monrovia,6.23379,-10.3623,large_airport,yes,133656,2009,medium_airport,medium,45,medium,https://www.monrovia-airport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q721497,below_5m_passengers,http://www.wikidata.org/entity/Q721497
Frederick Douglass Greater Rochester International Airport,Frederick Douglass Greater Rochester International Airport,ROC,KROC,KROC,US,United States,US-NY,Rochester,Rochester,43.1189,-77.672401,large_airport,yes,2553286,2019,medium_airport,medium,45,medium,https://rocairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Roi Et Airport,Roi Et Airport,ROI,VTUV,VTUV,TH,Thailand,TH-45,Roi Et,Roi Et,16.1168,103.774002,medium_airport,yes,212168,2020,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://app.powerbi.com/view?r=eyJrIjoiMGNjZDg3ZTgtN2RjOC00MzUxLWEwNWUtOGMyNjYxYTEwMjE2IiwidCI6IjdhOWZmNDg0LWZiMDctNDI3Zi05Y2QyLWJjMjUzOTU1ZGI0YSIsImMiOjEwfQ%3D%3D,below_5m_passengers,https://app.powerbi.com/view?r=eyJrIjoiMGNjZDg3ZTgtN2RjOC00MzUxLWEwNWUtOGMyNjYxYTEwMjE2IiwidCI6IjdhOWZmNDg0LWZiMDctNDI3Zi05Y2QyLWJjMjUzOTU1ZGI0YSIsImMiOjEwfQ%3D%3D
Rockhampton Airport,Rockhampton Airport,ROK,YBRK,YBRK,AU,Australia,AU-QLD,Rockhampton,Rockhampton,-23.380019,150.475359,medium_airport,yes,484711,2022,medium_airport,medium,40,medium,http://www.rok.aero/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx,below_5m_passengers,https://www.bitre.gov.au/sites/default/files/documents/webairport_cy_1985-2022.xlsx
Maestro Marinho Franco Airport,Maestro Marinho Franco Airport,ROO,SBRD,SBRD,BR,Brazil,BR-MT,Rondonópolis,Rondonópolis,-16.584292,-54.724803,medium_airport,yes,31973,2021,medium_airport,medium,40,medium,http://www.rondonopolis.mt.gov.br/orgaos-municipais/aeroporto-municipal-maestro-marinho-franco/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2021.csv,below_5m_passengers,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2021.csv
Rota International Airport,Rota International Airport,ROP,PGRO,PGRO,MP,Northern Mariana Islands,MP-U-A,Rota Island,Rota Island,14.173267,145.241103,large_airport,yes,22744,2019,medium_airport,medium,45,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Roman Tmetuchl International Airport,Roman Tmetuchl International Airport,ROR,PTRO,PTRO,PW,Palau,PW-004,Babelthuap Island,Babelthuap Island,7.366965,134.544085,large_airport,yes,13393,2021,medium_airport,medium,45,medium,https://palau-airport.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.palaugov.pw/wp-content/uploads/2022/07/2021-Statistical-Yearbook.pdf,below_5m_passengers,https://www.palaugov.pw/wp-content/uploads/2022/07/2021-Statistical-Yearbook.pdf
Rosario Islas Malvinas International Airport,Rosario Islas Malvinas International Airport,ROS,SAAR,SAAR,AR,Argentina,AR-S,Rosario,Rosario,-32.9036,-60.785,large_airport,yes,39826,2022,medium_airport,medium,45,medium,https://aeropuertorosario.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx,below_5m_passengers,https://datos.anac.gob.ar/static/docs/series-hist-ricas-anac.xlsx
Rotorua Regional Airport,Rotorua Regional Airport,ROT,NZRO,NZRO,NZ,New Zealand,NZ-BOP,Rotorua,Rotorua,-38.1092,176.317001,medium_airport,yes,155459,2022,medium_airport,medium,40,medium,https://www.rotorua-airport.co.nz/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.rotorua-airport.co.nz/site_files/21129/upload_files/RRALFinancialReports300622FINAL(1).pdf?dl=1,below_5m_passengers,https://www.rotorua-airport.co.nz/site_files/21129/upload_files/RRALFinancialReports300622FINAL(1).pdf?dl=1
Platov International Airport,Platov International Airport,ROV,URRP,URRP,RU,Russia,RU-ROS,Rostov-on-Don,Rostov-on-Don,47.493888,39.924722,large_airport,yes,2897938,2021,medium_airport,medium,45,medium,http://rov.aero/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/,below_5m_passengers,https://favt.gov.ru/dejatelnost-ajeroporty-i-ajerodromy-osnovnie-proizvodstvennie-pokazateli-aeroportov-obyom-perevoz/
Roswell Air Center Airport,Roswell Air Center Airport,ROW,KROW,KROW,US,United States,US-NM,Roswell,Roswell,33.301601,-104.530998,medium_airport,yes,120434,2019,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,below_5m_passengers,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx
Swami Vivekananda Airport,Swami Vivekananda Airport,RPR,,VARP,IN,India,IN-CT,Raipur,Raipur,21.180401,81.7388,medium_airport,yes,203682,2022,medium_airport,medium,40,medium,http://aai.aero/allAirports/raipur_generalinfo.jsp,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.aai.aero/sites/default/files/traffic-news/Dec2k22Annex3.pdf,below_5m_passengers,https://www.aai.aero/sites/default/files/traffic-news/Dec2k22Annex3.pdf
Ruoqiang Loulan Airport,Ruoqiang Loulan Airport,RQA,ZWRQ,ZWRQ,CN,China,CN-65,Ruoqiang Town,Ruoqiang Town,38.974722,88.008333,medium_airport,yes,29649,2022,medium_airport,medium,40,medium,,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,below_5m_passengers,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx
Sir Charles Gaetan Duval Airport,Sir Charles Gaetan Duval Airport,RRG,FIMR,FIMR,MU,Mauritius,MU-RO,Port Mathurin,Port Mathurin,-19.756696,63.359326,medium_airport,yes,,,unknown,unrated,,unknown,,,https://davidmegginson.github.io/ourairports-data/airports.csv,,,missing_passenger_data,
