airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,source_identity
Santa Elena de Uairén Airport,Santa Elena de Uairén Airport,SNV,SVSE,SVSE,VE,Venezuela,VE-F,Santa Elena de Uairén,Santa Elena de Uairén,4.554699,-61.145234,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Thandwe Airport,Thandwe Airport,SNW,VYTD,VYTD,MM,Myanmar,MM-16,Thandwe,Thandwe,18.4606990814209,94.30010223388672,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
San Tomé Airport,San Tomé Airport,SOM,SVST,SVST,VE,Venezuela,VE-B,El Tigre,El Tigre,8.9451465606689,-64.151084899902,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Santo Pekoa International Airport,Santo Pekoa International Airport,SON,NVSS,NVSS,VU,Vanuatu,VU-SAM,Luganville,Luganville,-15.505000114399998,167.220001221,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Menongue Airport,Menongue Airport,SPP,FNME,FNME,AO,Angola,AO-CCU,Menongue,Menongue,-14.657600402832031,17.71980094909668,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
John Greif II Airport,John Greif II Airport,SPR,,BZ-SPR,BZ,Belize,BZ-CY,San Pedro,San Pedro,17.9139,-87.9711,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Tebelian Airport,Tebelian Airport,SQG,WIOS,WIOS,ID,Indonesia,ID-KB,Sintang,Sintang,-0.045214,111.458049,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Alcantarí International Airport,Alcantarí International Airport,SRE,SLAL,SLAL,BO,Bolivia,BO-H,Sucre,Sucre,-19.246835,-65.149611,large_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Soroti Airport,Soroti Airport,SRT,HUSO,HUSO,UG,Uganda,UG-E,Soroti,Soroti,1.7276899814605713,33.622798919677734,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
El Trompillo Airport,El Trompillo Airport,SRZ,SLET,SLET,BO,Bolivia,BO-S,Santa Cruz,Santa Cruz,-17.8115997314,-63.1715011597,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Santa Teresita Airport,Santa Teresita Airport,SST,SAZL,SAZL,AR,Argentina,AR-B,Santa Teresita,Santa Teresita,-36.5423,-56.7218,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Mbanza Congo Airport,Mbanza Congo Airport,SSY,FNBC,FNBC,AO,Angola,AO-ZAI,Mbanza Congo,Mbanza Congo,-6.269899845123291,14.246999740600586,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Mayor Buenaventura Vivas International Airport,Mayor Buenaventura Vivas International Airport,STD,SVSO,SVSO,VE,Venezuela,VE-S,Santo Domingo,Santo Domingo,7.56538,-72.035103,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
Vladislav Ardzinba Sukhum International Airport,Vladislav Ardzinba Sukhum International Airport,SUI,UGSS,UGSS,GE,Georgia,GE-AB,Sukhumi,Sukhumi,42.8582,41.128101,medium_airport,yes,https://davidmegginson.github.io/ourairports-data/airports.csv
