airport_name,display_name,iata_code,icao_code,ourairports_ident,country_code,country_name,region_code,city,municipality,latitude,longitude,airport_type,scheduled_service,annual_passengers,passenger_year,passenger_tier,strategic_priority,automation_potential_score,automation_potential_tier,website,linkedin_url,source_identity,source_traffic,source_url
Katowice Wojciech Korfanty International Airport,Katowice Wojciech Korfanty International Airport,KTW,EPKT,EPKT,PL,Poland,PL-SL,Katowice,Katowice,50.476015,19.080705,large_airport,yes,5297247,2023,medium_airport,medium,45,medium,http://katowice.airport.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.katowice-airport.com/en/our-airport/statistics/annual-statistics
Las Américas International Airport,Las Américas International Airport,SDQ,MDSD,MDSD,DO,Dominican Republic,DO-01,Santo Domingo,Santo Domingo,18.42970085144,-69.668899536133,large_airport,yes,5287206,2023,medium_airport,medium,45,medium,http://www.aerodom.com/app/do/lasamericas.aspx,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1062676
Sangster International Airport,Sangster International Airport,MBJ,MKJS,MKJS,JM,Jamaica,JM-08,Montego Bay,Montego Bay,18.50342,-77.91323,large_airport,yes,5267823,2023,medium_airport,medium,45,medium,https://www.mbjairport.com/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q174140
Cagliari Elmas Airport,Cagliari Elmas Airport,CAG,LIEE,LIEE,IT,Italy,IT-88,Cagliari,Cagliari,39.251499,9.05428,large_airport,yes,5254433,2025,medium_airport,medium,45,medium,http://www.cagliariairport.it/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assaeroporti.com/statistiche/?selectedYear=2025&month=12
Boise Air Terminal/Gowen Field,Boise Air Terminal/Gowen Field,BOI,KBOI,KBOI,US,United States,US-ID,Boise,Boise,43.5644,-116.223,large_airport,yes,5229399,2025,medium_airport,medium,45,medium,http://www.cityofboise.org/departments/airport/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://www.iflyboise.com/media/2392/2025_passenger_stats.pdf
Luxembourg-Findel International Airport,Luxembourg-Findel International Airport,LUX,ELLX,ELLX,LU,Luxembourg,LU-L,Luxembourg,Luxembourg,49.626845,6.212134,large_airport,yes,5209656,2024,medium_airport,medium,45,medium,https://www.lux-airport.lu/en/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://data.public.lu/fr/datasets/r/3ec5dd7b-39c5-480f-ad59-0d6846198f6d
Sultan Mahmud Badaruddin II Airport,Sultan Mahmud Badaruddin II Airport,PLM,WIPP,WIPP,ID,Indonesia,ID-SS,Palembang,Palembang,-2.897653,104.698147,medium_airport,yes,5126298,2018,medium_airport,medium,40,medium,http://www.smbadaruddin2-airport.co.id,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1432286
Ted Stevens Anchorage International Airport,Ted Stevens Anchorage International Airport,ANC,PANC,PANC,US,United States,US-AK,Anchorage,Anchorage,61.179004,-149.992561,large_airport,yes,5078000,2023,medium_airport,medium,45,medium,https://dot.alaska.gov/anc/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q767753
Nnamdi Azikiwe International Airport,Nnamdi Azikiwe International Airport,ABV,DNAA,DNAA,NG,Nigeria,NG-FC,Abuja,Abuja,9.00679,7.26317,large_airport,yes,5029843,2022,medium_airport,medium,45,medium,http://www.faannigeria.org/nigeria-airport.php?airport=3,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://punchng.com/abuja-airport-handles-25-96million-passengers-in-seven-years/
Eppley Airfield,Eppley Airfield,OMA,KOMA,KOMA,US,United States,US-NE,Omaha,Omaha,41.3032,-95.894096,large_airport,yes,5026639,2023,medium_airport,medium,45,medium,https://www.flyoma.com,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,http://www.wikidata.org/entity/Q1347672
Turin Airport,Turin Airport,TRN,LIMF,LIMF,IT,Italy,IT-21,Caselle Torinese (TO),Caselle Torinese (TO),45.200802,7.64963,large_airport,yes,5006169,2025,medium_airport,medium,45,medium,http://www.aeroportoditorino.it/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://assaeroporti.com/statistiche/?selectedYear=2025&month=12
Khrabrovo Airport,Khrabrovo Airport,KGD,UMKK,UMKK,RU,Russia,RU-KGD,Kaliningrad,Kaliningrad,54.89161,20.598559,large_airport,yes,5000000,2025,medium_airport,medium,45,medium,https://kgdavia.ru/,,https://davidmegginson.github.io/ourairports-data/airports.csv,Wikidata P3872 patronage,https://expert.ru/promishlennost/vozdushnyy-shelkovyy-put/
